13.6162 	EXP 	window1: blendMode = 'avg'
13.6329 	EXP 	window1: blendMode = 'avg'
13.6494 	EXP 	window1: blendMode = 'avg'
13.6665 	EXP 	window1: blendMode = 'avg'
13.6834 	EXP 	window1: blendMode = 'avg'
13.6997 	EXP 	window1: blendMode = 'avg'
13.7169 	EXP 	window1: blendMode = 'avg'
13.7334 	EXP 	window1: blendMode = 'avg'
13.7502 	EXP 	window1: blendMode = 'avg'
13.7666 	EXP 	window1: blendMode = 'avg'
13.7835 	EXP 	window1: blendMode = 'avg'
13.8003 	EXP 	window1: blendMode = 'avg'
13.8163 	EXP 	window1: blendMode = 'avg'
13.8339 	EXP 	window1: blendMode = 'avg'
13.8502 	EXP 	window1: blendMode = 'avg'
13.8679 	EXP 	window1: blendMode = 'avg'
13.8829 	EXP 	window1: blendMode = 'avg'
13.9018 	EXP 	window1: blendMode = 'avg'
13.9163 	EXP 	window1: blendMode = 'avg'
13.9351 	EXP 	window1: blendMode = 'avg'
13.9501 	EXP 	window1: blendMode = 'avg'
13.9701 	EXP 	window1: blendMode = 'avg'
13.9834 	EXP 	window1: blendMode = 'avg'
14.0031 	EXP 	window1: blendMode = 'avg'
14.0177 	EXP 	window1: blendMode = 'avg'
14.0374 	EXP 	window1: blendMode = 'avg'
14.0499 	EXP 	window1: blendMode = 'avg'
14.0717 	EXP 	window1: blendMode = 'avg'
14.0834 	EXP 	window1: blendMode = 'avg'
14.1052 	EXP 	window1: blendMode = 'avg'
14.1164 	EXP 	window1: blendMode = 'avg'
14.1392 	EXP 	window1: blendMode = 'avg'
14.1497 	EXP 	window1: blendMode = 'avg'
14.1735 	EXP 	window1: blendMode = 'avg'
14.1836 	EXP 	window1: blendMode = 'avg'
14.2001 	EXP 	window1: blendMode = 'avg'
14.2164 	EXP 	window1: blendMode = 'avg'
14.2332 	EXP 	window1: blendMode = 'avg'
14.2496 	EXP 	window1: blendMode = 'avg'
14.2668 	EXP 	window1: blendMode = 'avg'
14.2839 	EXP 	window1: blendMode = 'avg'
14.2998 	EXP 	window1: blendMode = 'avg'
14.3164 	EXP 	window1: blendMode = 'avg'
14.3335 	EXP 	window1: blendMode = 'avg'
14.3496 	EXP 	window1: blendMode = 'avg'
14.3666 	EXP 	window1: blendMode = 'avg'
14.3830 	EXP 	window1: blendMode = 'avg'
14.3995 	EXP 	window1: blendMode = 'avg'
14.4162 	EXP 	window1: blendMode = 'avg'
14.4335 	EXP 	window1: blendMode = 'avg'
14.4502 	EXP 	window1: blendMode = 'avg'
14.4668 	EXP 	window1: blendMode = 'avg'
14.4850 	EXP 	window1: blendMode = 'avg'
14.5000 	EXP 	window1: blendMode = 'avg'
14.5169 	EXP 	window1: blendMode = 'avg'
14.5330 	EXP 	window1: blendMode = 'avg'
14.5502 	EXP 	window1: blendMode = 'avg'
14.5664 	EXP 	window1: blendMode = 'avg'
14.5836 	EXP 	window1: blendMode = 'avg'
14.5998 	EXP 	window1: blendMode = 'avg'
14.6181 	EXP 	window1: blendMode = 'avg'
14.6333 	EXP 	window1: blendMode = 'avg'
14.6512 	EXP 	window1: blendMode = 'avg'
14.6667 	EXP 	window1: blendMode = 'avg'
14.6848 	EXP 	window1: blendMode = 'avg'
14.6995 	EXP 	window1: blendMode = 'avg'
14.7209 	EXP 	window1: blendMode = 'avg'
14.7334 	EXP 	window1: blendMode = 'avg'
14.7544 	EXP 	window1: blendMode = 'avg'
14.7662 	EXP 	window1: blendMode = 'avg'
14.7867 	EXP 	window1: blendMode = 'avg'
14.7998 	EXP 	window1: blendMode = 'avg'
14.8224 	EXP 	window1: blendMode = 'avg'
14.8331 	EXP 	window1: blendMode = 'avg'
14.8546 	EXP 	window1: blendMode = 'avg'
14.8666 	EXP 	window1: blendMode = 'avg'
14.8885 	EXP 	window1: blendMode = 'avg'
14.8998 	EXP 	window1: blendMode = 'avg'
14.9248 	EXP 	window1: blendMode = 'avg'
